query,rolname,calls,mean_time,min_time,max_time,total_time,rows_read,cache_hit_rate,prop_total_time,index_advisor_result
"SELECT labelfile, spcmapfile, lsn FROM pg_backup_stop($1)",supabase_admin,3,79.3972336666667,34.739859,164.659614,238.191701,3,0,1.3714046170227712,null
"do $_$    begin      execute replace(replace(replace(replace(            pg_read_file('/etc/postgresql-custom/extension-custom-scripts/uuid-ossp/before-create.sql')          , '@extname@', '''uuid-ossp''')          , '@extschema@', 'null')          , '@extversion@', 'null')          , '@extcascade@', 'false');    exception      when undefined_file then        null;    end; $_$",supabase_admin,171,0.990858923976608,0.080008,9.293684,169.436876,0,0,0.9755441229260744,null
"do $$
    declare
        tbl record;
        seq_name text;
        new_seq_name text;
        archive_table_name text;
    begin
        -- No tables should be owned by the extension.
        -- We want them to be included in logical backups
        for tbl in
            select c.relname as table_name
            from pg_class c
              join pg_depend d
                on c.oid = d.objid
              join pg_extension e
                on d.refobjid = e.oid
            where
              c.relkind in ('r', 'p', 'u')
              and e.extname = 'pgmq'
              and (c.relname like 'q\_%' or c.relname like 'a\_%')
        loop
          execute format('
            alter extension pgmq drop table pgmq.""%s"";',
            tbl.table_name
          );
        end loop;
    end $$",supabase_admin,2,60.010035,52.393687,67.626383,120.02007,0,100.0000000000000000,0.6910235639712577,null
"SELECT columns.*, pg_catalog.col_description(($1 || table_catalog || $2 || table_schema || $3 || table_name || $4)::regclass::oid, ordinal_position) AS description, ($5 || ""udt_schema"" || $6 || ""udt_name"" || $7)::""regtype""::text AS ""regtype"", pg_catalog.format_type(""col_attr"".""atttypid"", ""col_attr"".""atttypmod"") AS ""format_type"" FROM ""information_schema"".""columns"" LEFT JOIN ""pg_catalog"".""pg_attribute"" AS ""col_attr"" ON ""col_attr"".""attname"" = ""columns"".""column_name"" AND ""col_attr"".""attrelid"" = ( SELECT ""cls"".""oid"" FROM ""pg_catalog"".""pg_class"" AS ""cls"" LEFT JOIN ""pg_catalog"".""pg_namespace"" AS ""ns"" ON ""ns"".""oid"" = ""cls"".""relnamespace"" WHERE ""cls"".""relname"" = ""columns"".""table_name"" AND ""ns"".""nspname"" = ""columns"".""table_schema"" ) WHERE (""table_schema"" = $8 AND ""table_name"" = $9) OR (""table_schema"" = $10 AND ""table_name"" = $11) OR (""table_schema"" = $12 AND ""table_name"" = $13) OR (""table_schema"" = $14 AND ""table_name"" = $15) OR (""table_schema"" = $16 AND ""table_name"" = $17) OR (""table_schema"" = $18 AND ""table_name"" = $19) OR (""table_schema"" = $20 AND ""table_name"" = $21) OR (""table_schema"" = $22 AND ""table_name"" = $23) OR (""table_schema"" = $24 AND ""table_name"" = $25) OR (""table_schema"" = $26 AND ""table_name"" = $27) OR (""table_schema"" = $28 AND ""table_name"" = $29) OR (""table_schema"" = $30 AND ""table_name"" = $31) OR (""table_schema"" = $32 AND ""table_name"" = $33) OR (""table_schema"" = $34 AND ""table_name"" = $35) OR (""table_schema"" = $36 AND ""table_name"" = $37) OR (""table_schema"" = $38 AND ""table_name"" = $39) OR (""table_schema"" = $40 AND ""table_name"" = $41)",postgres,1,117.320254,117.320254,117.320254,117.320254,289,99.9042407660738714,0.6754791931473895,null
"SELECT ""CompanySettings"".""id"" AS ""CompanySettings_id"", ""CompanySettings"".""companyId"" AS ""CompanySettings_companyId"", ""CompanySettings"".""timezone"" AS ""CompanySettings_timezone"", ""CompanySettings"".""defaultCurrency"" AS ""CompanySettings_defaultCurrency"", ""CompanySettings"".""defaultGracePeriodDays"" AS ""CompanySettings_defaultGracePeriodDays"", ""CompanySettings"".""defaultLateFeeType"" AS ""CompanySettings_defaultLateFeeType"", ""CompanySettings"".""defaultLateFeeValue"" AS ""CompanySettings_defaultLateFeeValue"", ""CompanySettings"".""defaultInvitedRole"" AS ""CompanySettings_defaultInvitedRole"", ""CompanySettings"".""staffCanRecordPayments"" AS ""CompanySettings_staffCanRecordPayments"", ""CompanySettings"".""staffCanApprovePayments"" AS ""CompanySettings_staffCanApprovePayments"", ""CompanySettings"".""staffCanInviteTenants"" AS ""CompanySettings_staffCanInviteTenants"", ""CompanySettings"".""allowedPaymentMethods"" AS ""CompanySettings_allowedPaymentMethods"", ""CompanySettings"".""requirePaymentApproval"" AS ""CompanySettings_requirePaymentApproval"", ""CompanySettings"".""allowPartialPayments"" AS ""CompanySettings_allowPartialPayments"", ""CompanySettings"".""allowAdvancePayments"" AS ""CompanySettings_allowAdvancePayments"", ""CompanySettings"".""requirePaymentReference"" AS ""CompanySettings_requirePaymentReference"", ""CompanySettings"".""defaultEmailNotifications"" AS ""CompanySettings_defaultEmailNotifications"", ""CompanySettings"".""defaultSmsNotifications"" AS ""CompanySettings_defaultSmsNotifications"", ""CompanySettings"".""autoGenerateRentCycles"" AS ""CompanySettings_autoGenerateRentCycles"", ""CompanySettings"".""autoApplyCredit"" AS ""CompanySettings_autoApplyCredit"", ""CompanySettings"".""autoApplyLateFees"" AS ""CompanySettings_autoApplyLateFees"", ""CompanySettings"".""lateFeeEnabled"" AS ""CompanySettings_lateFeeEnabled"", ""CompanySettings"".""createdAt"" AS ""CompanySettings_createdAt"", ""CompanySettings"".""updatedAt"" AS ""CompanySettings_updatedAt"" FROM ""company_settings"" ""CompanySettings"" WHERE ((""CompanySettings"".""companyId"" = $1)) LIMIT $2",postgres,180,0.440001194444444,0.015459,6.340915,79.200215,180,99.3865030674846626,0.4560005242172402,null
"SELECT ""UserCompany"".""id"" AS ""UserCompany_id"", ""UserCompany"".""userId"" AS ""UserCompany_userId"", ""UserCompany"".""companyId"" AS ""UserCompany_companyId"", ""UserCompany"".""role"" AS ""UserCompany_role"", ""UserCompany"".""isActive"" AS ""UserCompany_isActive"", ""UserCompany"".""joinedAt"" AS ""UserCompany_joinedAt"" FROM ""user_companies"" ""UserCompany"" WHERE ((""UserCompany"".""userId"" = $1) AND (""UserCompany"".""companyId"" = $2) AND (""UserCompany"".""isActive"" = $3)) LIMIT $4",postgres,610,0.121302472131148,0.014638,5.463159,73.994508,605,100.0000000000000000,0.4260283187008617,null
"-- Adapted from information_schema.schemata

select
  n.oid as id,
  n.nspname as name,
  u.rolname as owner,
   obj_description(n.oid, $1) AS comment
from
  pg_namespace n,
  pg_roles u
where
  n.nspowner = u.oid
  and (
    pg_has_role(n.nspowner, $2)
    or has_schema_privilege(n.oid, $3)
  )
  and not pg_catalog.starts_with(n.nspname, $4)
  and not pg_catalog.starts_with(n.nspname, $5)
 and not (n.nspname in ($6,$7,$8))

-- source: dashboard
-- user: a5b3efd2-641a-4f84-ad99-c41e74f6181e
-- date: 2026-02-13T15:06:04.699Z",postgres,16,3.8617526875,0.840365,16.379066,61.788043,144,100.0000000000000000,0.3557487817218347,null
"INSERT INTO ""revoked_refresh_tokens""(""id"", ""jti"", ""expiresAt"", ""createdAt"") VALUES (DEFAULT, $1, $2, DEFAULT) ON CONFLICT DO NOTHING  RETURNING ""id"", ""createdAt""",postgres,13,4.65948453846154,0.061153,20.771334,60.573299,12,99.5440729483282675,0.3487548120616545,null
"SELECT ""UserCompany"".""id"" AS ""UserCompany_id"", ""UserCompany"".""userId"" AS ""UserCompany_userId"", ""UserCompany"".""companyId"" AS ""UserCompany_companyId"", ""UserCompany"".""role"" AS ""UserCompany_role"", ""UserCompany"".""isActive"" AS ""UserCompany_isActive"", ""UserCompany"".""joinedAt"" AS ""UserCompany_joinedAt"", ""UserCompany__UserCompany_company"".""id"" AS ""UserCompany__UserCompany_company_id"", ""UserCompany__UserCompany_company"".""name"" AS ""UserCompany__UserCompany_company_name"", ""UserCompany__UserCompany_company"".""slug"" AS ""UserCompany__UserCompany_company_slug"", ""UserCompany__UserCompany_company"".""address"" AS ""UserCompany__UserCompany_company_address"", ""UserCompany__UserCompany_company"".""phone"" AS ""UserCompany__UserCompany_company_phone"", ""UserCompany__UserCompany_company"".""email"" AS ""UserCompany__UserCompany_company_email"", ""UserCompany__UserCompany_company"".""logo"" AS ""UserCompany__UserCompany_company_logo"", ""UserCompany__UserCompany_company"".""isActive"" AS ""UserCompany__UserCompany_company_isActive"", ""UserCompany__UserCompany_company"".""createdAt"" AS ""UserCompany__UserCompany_company_createdAt"", ""UserCompany__UserCompany_company"".""updatedAt"" AS ""UserCompany__UserCompany_company_updatedAt"" FROM ""user_companies"" ""UserCompany"" LEFT JOIN ""companies"" ""UserCompany__UserCompany_company"" ON ""UserCompany__UserCompany_company"".""id""=""UserCompany"".""companyId"" WHERE ((""UserCompany"".""userId"" = $1) AND (""UserCompany"".""isActive"" = $2))",postgres,130,0.447438446153846,0.019126,7.16087,58.166998,136,99.3684210526315789,0.3349003734414504,null
"SELECT ""Payment"".""id"" AS ""Payment_id"", ""Payment"".""companyId"" AS ""Payment_companyId"", ""Payment"".""tenantId"" AS ""Payment_tenantId"", ""Payment"".""leaseId"" AS ""Payment_leaseId"", ""Payment"".""rentCycleId"" AS ""Payment_rentCycleId"", ""Payment"".""amount"" AS ""Payment_amount"", ""Payment"".""amountDue"" AS ""Payment_amountDue"", ""Payment"".""amountPaid"" AS ""Payment_amountPaid"", ""Payment"".""balance"" AS ""Payment_balance"", ""Payment"".""currency"" AS ""Payment_currency"", ""Payment"".""paymentDate"" AS ""Payment_paymentDate"", ""Payment"".""dueDate"" AS ""Payment_dueDate"", ""Payment"".""paidAt"" AS ""Payment_paidAt"", ""Payment"".""paymentMethod"" AS ""Payment_paymentMethod"", ""Payment"".""paymentMethodId"" AS ""Payment_paymentMethodId"", ""Payment"".""paymentType"" AS ""Payment_paymentType"", ""Payment"".""status"" AS ""Payment_status"", ""Payment"".""reference"" AS ""Payment_reference"", ""Payment"".""recordedBy"" AS ""Payment_recordedBy"", ""Payment"".""period"" AS ""Payment_period"", ""Payment"".""notes"" AS ""Payment_notes"", ""Payment"".""isPartial"" AS ""Payment_isPartial"", ""Payment"".""balanceAfter"" AS ""Payment_balanceAfter"", ""Payment"".""lateFeeApplied"" AS ""Payment_lateFeeApplied"", ""Payment"".""attachmentUrl"" AS ""Payment_attachmentUrl"", ""Payment"".""isActive"" AS ""Payment_isActive"", ""Payment"".""isLegacy"" AS ""Payment_isLegacy"", ""Payment"".""createdAt"" AS ""Payment_createdAt"", ""Payment"".""updatedAt"" AS ""Payment_updatedAt"" FROM ""payments"" ""Payment"" WHERE ((""Payment"".""rentCycleId"" = $1) AND (""Payment"".""isActive"" = $2))",postgres,1148,0.049052262195122,0.005399,5.506262,56.3119969999999,758,100.0000000000000000,0.3242200813687136,null
